,Date,Inventory Type,Site Name,Slot Name,Slot Size,Impressions,Earnings
11353,20230423,Web,thenewsminute.com,28110228/ATD_newsm/ATD_300x250_M_AP_AD2,336x280,465,0.05
11355,20230423,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_EOA_TAG",300x250,0,0.0
11359,20230423,Web,thenewsminute.com,28110228/ATD_newsm/ATD_970x250_SP_General,728x90,15,0.0
11376,20230423,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_EOA_TAG",300x100,0,0.0
11385,20230423,Web,google.com,unknown,other,0,0.0
487,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_EOA_JP",728x90,0,0.0
540,20230423,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_INR3_CP",300x250,0,0.0
541,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_INR4_HP",1x1,0,0.0
11221,20230423,Web,texashillcountry.com,"21804848220,22430105552/ATD_Texashillcountry/ATD_320x50_header",300x50,0,0.0
544,20230423,Web,becauseofthemwecan.com,22789242389/ATD_becauseofthemwecan.com/728x90_All,970x90,0,0.0
606,20230423,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_EOA_TAG",320x50,0,0.0
595,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_INR3_CP",970x90,0,0.0
11137,20230423,Web,casebriefs.com,135807292/VideoBottom,728x90,0,0.0
589,20230423,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_300x600_M_EOA_HP",300x50,0,0.0
587,20230423,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_INR3_CP",160x600,0,0.0
11142,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_INR2_CP",300x250,0,0.0
582,20230423,Web,playerswiki.com,"21804848220,21667394145/ATD_Playerswiki/ATD_300x600_INR2_SP",336x280,0,0.0
11153,20230423,Web,playerswiki.com,/103512698/22868978639,550x150,0,0.0
11157,20230423,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_320x100_TOP_RP",320x100,0,0.0
11167,20230423,Web,wallpaperaccess.com,"21804848220,22440675056/ATD_Wallpaperaccess/ATD_320x50_FWA",320x50,753,0.88
11168,20230423,Web,kookmutsjes.com,"21804848220,21908065997/ATD_Kook/ATD_300x600_INR",300x600,110,0.07
11169,20230423,AMP,mapsofworld.com,/1152375/ATD_MOW_AMP/ATD_300x250_AMP_MPU_4,336x280,54,0.01
11170,20230423,Web,kookmutsjes.com,"21804848220,21908065997/ATD_Kook/ATD_320x50_Footer_Sticky_M",300x50,5,0.01
11185,20230423,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_EOA_HP",336x280,0,0.0
573,20230423,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_INR1_HP",120x600,0,0.0
11196,20230423,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_300x250_INR2_HP",300x250,0,0.0
11197,20230423,Web,wallpaperaccess.com,"21804848220,22440675056/ATD_Wallpaperaccess/ATD_320x50_Footer",320x50,49,0.04
566,20230423,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_970x250_MH_CP",970x90,0,0.0
557,20230423,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_INR2_TAG",336x280,0,0.0
555,20230423,AMP,prajavani.net,/1013527/PV_AMP_Display_MR_P1,300x250,61,0.0
11210,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_M_INR4_JP",300x100,0,0.0
552,20230423,Web,thenewsminute.com,28110228/ATD_newsm/ATD_300x250_M_SP_Health_AD3,300x250,71,0.01
11214,20230423,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_970x250_MH_TAG",728x90,0,0.0
11215,20230423,Web,mapsofworld.com,1152375/Arabic-300x250-mobile-1,300x250,1,0.0
11217,20230423,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_EOA_CP",300x600,2,0.03
11388,20230423,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_EOA_TAG",300x50,0,0.0
486,20230423,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_970x250_INR3_RP",970x90,0,0.0
11636,20230423,Web,thenewsminute.com,28110228/ATD_newsm/ATD_300X600_AXT,300x600,23,0.0
11610,20230423,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_INR1_HP",300x600,1,0.01
11519,20230423,Web,playerswiki.com,"21804848220,21667394145/ATD_Playerswiki/ATD_300x250_Sidebar",300x250,0,0.0
11521,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_M_INR1_JP",300x250,0,0.0
11526,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_M_EOA_CP",320x100,0,0.0
11538,20230423,Web,playerswiki.com,/103512698/22868978639,570x90,0,0.0
11541,20230423,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_INR1_RP",300x50,0,0.0
11545,20230423,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_BMP",300x250,0,0.0
11604,20230423,Web,deccanherald.com,1013527/ATD_dch/ATD_300x250_S5_P1,300x250,116,0.02
11605,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_INR6_JP",728x90,0,0.0
11606,20230423,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_160x600_LHS_RP",160x600,923,4.13
11607,20230423,Web,deccanherald.com,1013527/ATD_dch/ATD_1x1_GENERAL,1x1,0,0.0
11608,20230423,Web,texashillcountry.com,"21804848220,22430105552/ATD_Texashillcountry/ATD_320x50_Intentt",320x50,75,0.21
11609,20230423,Web,playerswiki.com,"21804848220,21667394145/ATD_Playerswiki/ATD_160x600_Gutter",160x600,20,0.05
11611,20230423,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_BMP_RP",320x100,2,0.02
485,20230423,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_EOA_HP",336x280,0,0.0
11612,20230423,AMP,bhaskar.com,/28928716/Bhaskar/AMP/M.DAB_AMP_BTF1_300x250,200x200,1816,0.27
11613,20230423,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_EOA_CP",300x600,0,0.0
345,20230423,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_INR2_HP",336x280,0,0.0
334,20230423,Web,schoolofwordplay.com,"21804848220,22690441817/ATD_SchoolofWordPlay/ATD_300x600_RHS_HP",300x600,2,0.02
333,20230423,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_970x250_EOA_RP",1x1,0,0.0
