,Date,Inventory Type,Site Name,Slot Name,Slot Size,Impressions,Earnings
4653,20230429,Web,deccanherald.com,1013527/ATD_dch/ATD_300x250_S4,300x250,92,0.02
4654,20230429,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_970x90_BMP_RP",1x1,0,0.0
4655,20230429,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_970x250_MH_RP",728x90,422,3.43
4656,20230429,Web,avsim.com,"21804848220,22589072596/ATD_avsim/ATD_336x280_AXT",336x280,32,0.01
4657,20230429,Web,wallpaperaccess.com,"21804848220,22440675056/site/300x250",300x250,29,0.03
4658,20230429,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_970x250_EOA_WP",970x250,1,0.0
4659,20230429,AMP,bhaskar.com,/28928716/Bhaskar/AMP/M.DAB_AMP_BTF2_300x250,336x280,0,0.0
4663,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x50_AXT",300x50,7,0.03
4664,20230429,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_EOA_RP",1x1,0,0.0
4668,20230429,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_300x250_M_INR2_RP",120x600,0,0.0
4669,20230429,AMP,divyabhaskar.co.in,/28928716/Divyabhaskar/AMP/M.DIVB_AMP_AL_BTF3_300x250,250x250,111,0.0
4676,20230429,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_EOA_HP",300x50,0,0.0
4727,20230429,Web,playerswiki.com,/103512698/22868887444,650x90,0,0.0
4737,20230429,Web,mybaseguide.com,9345627/ATD_Mybaseguide/ATD_300x250_ATD_M_INR2_AP,336x280,0,0.0
4748,20230429,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_INR2_TAG",160x600,0,0.0
4751,20230429,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_300x600_M_INR1_HP",160x600,0,0.0
4764,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_EOA_TAG",300x600,0,0.0
4777,20230429,Web,protopage.com,unknown,other,0,0.0
4787,20230429,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_EOA_CP",1x1,0,0.0
4788,20230429,Web,yummly.com,unknown,other,0,0.0
4791,20230429,Web,gopdailybrief.com,175265624/site/300x250,300x250,0,0.0
4793,20230429,AMP,prajavani.net,/1013527/pv_amp_display_hp_mr_p2,300x250,0,0.0
4797,20230429,Web,mapsofworld.com,1152375/ATD_MOW/ATD_300x600_HP_M_Opti,300x250,0,0.0
4802,20230429,AMP,bhaskar.com,/28928716/Bhaskar/AMP/M.DAB_AMP_ATF_300x250,300x100,3300,0.25
4803,20230429,Web,kookmutsjes.com,"21804848220,21908065997/ATD_Kook/ATD_300x250_INR5_AP",300x250,348,0.37
4804,20230429,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_EOA_RP",160x600,11,0.06
4805,20230429,Web,deccanherald.com,1013527/ATD_dch/ATD_300x250_S5_P5,300x250,102,0.02
4806,20230429,Web,mapsofworld.com,1152375/ATD_MOW/ATD_160x600_AXT,160x600,292,0.68
4807,20230429,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_970x250_EOA_RP",728x90,10,0.11
4814,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_970x250_INR3_RP",300x250,79,0.78
