Date,Placement,Ad unit,Device category,Total impressions,Total clicks,Total CPM and CPC revenue ($),Total average eCPM ($),Total CTR,Total Active View % viewable impressions,Total Active View average viewable time (seconds),Programmatic eligible ad requests
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_160x600_AXT,Desktop,"5,682",11,12.79,2.25,0.19%,95.90%,16.71,"6,189"
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_160x600_AXT,Smartphone,2,0,0.01,2.92,0.00%,0.00%,0.00,2
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_160x600_AXT,Tablet,54,0,0.12,2.24,0.00%,96.30%,21.50,56
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_160x600_RHS_CP,Desktop,11,0,0.02,1.95,0.00%,80.00%,9.24,14
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_160x600_RHS_HP,Desktop,79,0,0.22,2.85,0.00%,81.08%,20.98,195
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_160x600_RHS_JP,Desktop,"6,358",7,16.36,2.57,0.11%,81.74%,14.73,"10,044"
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_160x600_RHS_JP,Tablet,75,0,0.31,4.16,0.00%,62.32%,32.07,149
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_120x600_AXT,Smartphone,2,0,0.00,2.02,0.00%,100.00%,8.50,6
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x50_AXT,Smartphone,624,0,0.73,1.17,0.00%,80.90%,20.47,873
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x600_AXT,Desktop,4,0,0.01,2.64,0.00%,75.00%,8.00,6
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x600_AXT,Smartphone,250,12,1.51,6.06,4.80%,80.32%,12.85,278
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x600_RHS_HP,Desktop,0,0,0.00,0.00,0.00%,0.00%,0.00,1
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x600_RHS_JP,Desktop,2,0,0.00,1.22,0.00%,50.00%,4.00,11
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x600_RHS_JP,Tablet,1,0,0.00,4.70,0.00%,100.00%,6.00,2
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_AXT,Desktop,770,1,1.46,1.90,0.13%,92.18%,17.02,853
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_AXT,Smartphone,"1,159",4,2.94,2.54,0.35%,92.13%,20.63,"1,280"
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_AXT,Tablet,64,1,0.14,2.25,1.56%,85.25%,21.61,72
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_INR2_JP,Desktop,"9,660",11,14.60,1.51,0.11%,24.03%,13.19,"16,053"
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_INR2_JP,Tablet,499,0,0.89,1.79,0.00%,36.90%,17.93,937
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_Interstitial,Desktop,"1,176",99,39.54,33.62,8.42%,99.14%,8.90,"17,912"
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_Interstitial,Smartphone,"3,481",326,87.24,25.06,9.37%,97.27%,5.25,"49,709"
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_Interstitial,Tablet,131,20,5.09,38.88,15.27%,90.83%,7.59,"1,955"
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_EOA_CP,Smartphone,6,0,0.02,2.75,0.00%,16.67%,0.00,6
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_EOA_HP,Smartphone,33,0,0.14,4.35,0.00%,65.62%,5.80,51
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_EOA_JP,Smartphone,673,15,2.62,3.90,2.23%,45.89%,9.45,844
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_EOA_JP,Tablet,1,0,0.00,3.42,0.00%,0.00%,0.00,1
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_INR4_CP,Smartphone,9,0,0.02,2.49,0.00%,66.67%,3.50,10
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_INR4_HP,Smartphone,36,1,0.18,4.93,2.78%,36.11%,5.20,39
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_INR4_JP,Smartphone,558,11,2.24,4.02,1.97%,49.91%,6.20,665
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_INR5_CP,Smartphone,10,0,0.03,2.81,0.00%,70.00%,3.00,11
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_INR5_JP,Smartphone,239,1,0.77,3.22,0.42%,41.60%,5.22,324
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_INR6_CP,Smartphone,9,0,0.02,2.52,0.00%,88.89%,5.00,10
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_INR6_JP,Smartphone,155,2,0.41,2.62,1.29%,35.71%,13.58,229
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_INR7_CP,Smartphone,10,0,0.02,2.38,0.00%,70.00%,4.50,11
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_INR1_CP,Smartphone,21,0,0.06,2.91,0.00%,66.67%,3.33,26
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_INR1_HP,Smartphone,328,6,1.77,5.39,1.83%,42.99%,5.94,394
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_INR2_CP,Smartphone,12,0,0.05,4.12,0.00%,54.55%,2.00,14
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_INR2_HP,Smartphone,93,6,0.50,5.34,6.45%,51.61%,7.67,100
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_INR2_JP,Desktop,10,0,0.02,1.94,0.00%,20.00%,5.00,16
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_INR2_JP,Smartphone,"33,542",179,68.91,2.05,0.53%,14.08%,10.02,"50,506"
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_INR2_JP,Tablet,7,0,0.02,3.03,0.00%,14.29%,1.00,14
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_INR3_CP,Smartphone,10,0,0.03,3.19,0.00%,60.00%,3.00,11
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_INR3_HP,Smartphone,46,1,0.21,4.59,2.17%,60.00%,3.56,51
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_INR3_JP,Desktop,2,0,0.01,2.90,0.00%,0.00%,0.00,3
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_INR3_JP,Smartphone,"1,599",22,7.21,4.51,1.38%,46.54%,7.40,"1,864"
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_MH_CP,Smartphone,37,2,0.08,2.05,5.41%,43.24%,67.33,49
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_MH_HP,Smartphone,989,14,6.49,6.57,1.42%,62.93%,19.58,"1,536"
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_MH_HP,Tablet,1,0,0.01,5.63,0.00%,100.00%,0.00,2
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_MH_JP,Desktop,11,0,0.02,1.91,0.00%,81.82%,20.00,12
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_MH_JP,Smartphone,"37,264",305,92.99,2.50,0.82%,74.81%,19.08,"49,016"
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_300x250_M_MH_JP,Tablet,5,0,0.02,3.95,0.00%,50.00%,10.00,15
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_320x50_AXT,Desktop,2,0,0.00,0.95,0.00%,100.00%,0.00,2
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_320x50_AXT,Smartphone,"16,902",25,24.04,1.42,0.15%,93.54%,19.78,"20,975"
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_320x50_AXT,Tablet,8,0,0.02,2.31,0.00%,37.50%,3.00,8
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_320x50_Footer,Desktop,29,0,0.04,1.22,0.00%,79.31%,15.56,52
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_320x50_Footer,Smartphone,"36,842",45,45.69,1.24,0.12%,76.18%,19.31,"52,932"
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_320x50_Footer,Tablet,11,1,0.03,2.28,9.09%,54.55%,11.00,20
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_320x100_AXT,Smartphone,55,0,0.09,1.60,0.00%,98.18%,21.62,56
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_336x280_AXT,Desktop,"1,297",2,2.61,2.02,0.15%,94.81%,17.82,"1,404"
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_336x280_AXT,Smartphone,"6,802",32,17.23,2.53,0.47%,91.88%,19.23,"7,782"
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_336x280_AXT,Tablet,200,2,0.45,2.25,1.00%,97.88%,16.74,205
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_728x90_AXT,Desktop,"9,964",36,21.96,2.20,0.36%,96.25%,17.78,"10,802"
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_728x90_AXT,Smartphone,469,0,0.74,1.58,0.00%,96.37%,18.99,510
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_728x90_AXT,Tablet,684,2,2.07,3.02,0.29%,95.59%,20.41,782
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_728x90_Footer,Desktop,"12,796",32,27.78,2.17,0.25%,81.91%,14.98,"18,730"
7/12/23,Funnyeditor.com,ATD_FunnyEditor » ATD_728x90_Footer,Tablet,"1,154",3,2.61,2.27,0.26%,71.80%,26.56,"1,984"
