"Day","Property","Player Id","Player Name","Ad Impressions","Connatix Demand Revenue","Ad Wins"
"01-JAN-2024","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",1317,3.05,1317
"01-JAN-2024","www.freepressjournal.in","1a8da15f-e528-4923-aa32-e987e76a865c","FPJ - Article Recommendation - No float",0,0.00,0
"02-JAN-2024","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",0,0.00,0
"02-JAN-2024","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",24,0.04,24
"02-JAN-2024","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",841,0.62,841
"02-JAN-2024","telugu-filmibeat-com.translate.goog","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",0,0.00,0
"02-JAN-2024","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",551,0.57,551
"02-JAN-2024","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",1702,4.60,1702
"03-JAN-2024","cookingprofessionally.com","2618c795-6de1-4144-984c-05ff385dd7d4","CP - Article Recommendation",2,0.00,2
"03-JAN-2024","heartlandcooking.com","0498a749-5ce1-4fe2-b909-7bd76734d093","HLC - Article Recommendation - No float",1,0.00,1
"03-JAN-2024","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",7,0.02,7
"03-JAN-2024","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",1,0.00,1
"03-JAN-2024","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",791,1.29,791
"03-JAN-2024","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",380,0.79,380
