"Day","Property","Line Item Name","Ad Impressions","Publisher Demand Revenue","Connatix Demand Revenue","CPM ($)"
"16-DEC-2023","www.stilt.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",819,0.81,0.00,0.99
"17-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",253,0.13,0.00,0.50
"17-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",1,0.00,0.00,1.30
"17-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",13,0.02,0.00,1.77
"17-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",13,0.04,0.00,2.79
"17-DEC-2023","www.stilt.com","Media.net - S2S - Line Item",9,0.06,0.00,7.22
"17-DEC-2023","www.stilt.com","Pulsepoint - Stilt - Line Item",5,0.01,0.00,2.21
"17-DEC-2023","www.stilt.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",633,0.67,0.00,1.05
"17-DEC-2023","www.stilt.com","Xandr - Stilt - Line Item",1,0.00,0.00,1.88
"18-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",140,0.07,0.00,0.50
"18-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",2,0.00,0.00,1.29
"18-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",20,0.03,0.00,1.39
"18-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",25,0.06,0.00,2.50
"18-DEC-2023","www.golaurens.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",1,0.00,0.00,0.25
"18-DEC-2023","www.stilt.com","Media.net - S2S - Line Item",16,0.05,0.00,3.07
"18-DEC-2023","www.stilt.com","OpenX - Stilt - Line Item",1,0.01,0.00,5.18
"18-DEC-2023","www.stilt.com","Pulsepoint - Stilt - Line Item",6,0.02,0.00,3.32
"18-DEC-2023","www.stilt.com","Smartadserver - Line item - Stilt",1,0.00,0.00,2.57
"18-DEC-2023","www.stilt.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",900,0.64,0.00,0.72
"18-DEC-2023","www.stilt.com","Xandr - Stilt - Line Item",1,0.00,0.00,0.76
"19-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",38,0.02,0.00,0.50
"19-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",1,0.00,0.00,1.08
"19-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",5,0.00,0.00,1.00
"19-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",14,0.02,0.00,1.41
"19-DEC-2023","www.stilt.com","Media.net - S2S - Line Item",5,0.10,0.00,19.11
"19-DEC-2023","www.stilt.com","Pulsepoint - Stilt - Line Item",6,0.02,0.00,3.93
"19-DEC-2023","www.stilt.com","Smartadserver - Line item - Stilt",3,0.03,0.00,9.67
"19-DEC-2023","www.stilt.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",872,1.33,0.00,1.53
"20-DEC-2023","commandcooking.com","Conversant - CC - Line item",1,0.00,0.00,1.20
"20-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",20,0.01,0.00,0.50
