"Day","Property","Line Item Name","Ad Impressions","Publisher Demand Revenue","Connatix Demand Revenue","CPM ($)"
"10-DEC-2023","www.golaurens.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",1323,3.38,0.00,2.55
"10-DEC-2023","www.golaurens.com","Unruly Line Item",63,0.14,0.00,2.15
"10-DEC-2023","www.stilt.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",12661,19.35,0.00,1.53
"10-DEC-2023","www.stilt.com","Unruly Line Item",306,1.00,0.00,3.28
"11-DEC-2023","calcsimple.com","Unruly Line Item",652,1.63,0.00,2.50
"11-DEC-2023","commandcooking.com","Conversant - CC - Line item",2149,3.97,0.00,1.85
"11-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",47791,23.90,0.00,0.50
"11-DEC-2023","commandcooking.com","Media.net - Line item",1053,2.36,0.00,2.24
"11-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",5579,14.48,0.00,2.60
"11-DEC-2023","commandcooking.com","OpenX - CC - Line Item",2847,4.75,0.00,1.67
"11-DEC-2023","commandcooking.com","Pubmatic Line item",1026,1.85,0.00,1.81
"11-DEC-2023","commandcooking.com","Pulsepoint - CC - Line Item",71,0.20,0.00,2.75
"11-DEC-2023","commandcooking.com","Rise Line Item",345,0.87,0.00,2.52
"11-DEC-2023","commandcooking.com","Sharethrough - Line item",361,2.46,0.00,6.81
"11-DEC-2023","commandcooking.com","Smartadserver - Line item - CC",296,0.96,0.00,3.24
"11-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",9440,15.86,0.00,1.68
"11-DEC-2023","commandcooking.com","Unruly Line Item",303,1.02,0.00,3.38
"11-DEC-2023","commandcooking.com","Xandr - CC - Line Item",169,0.50,0.00,2.97
"11-DEC-2023","glamourfame.com","Unruly Line Item",1,0.00,0.00,4.20
"11-DEC-2023","texashillcountry.com","Rise Line Item",2,0.00,0.00,1.98
"11-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",1105,2.22,0.00,2.01
"11-DEC-2023","texashillcountry.com","Unruly Line Item",57,0.16,0.00,2.72
"11-DEC-2023","www.flickchart.com","Unruly Line Item",1,0.00,0.00,1.33
"11-DEC-2023","www.golaurens.com","GoLaurens_ATD IND_Atd_AdX-IN_video",3306,0.99,0.00,0.30
"11-DEC-2023","www.golaurens.com","Media.net - S2S - Line Item",25,0.04,0.00,1.46
"11-DEC-2023","www.golaurens.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",2913,5.51,0.00,1.89
"11-DEC-2023","www.golaurens.com","Unruly Line Item",189,0.44,0.00,2.31
"11-DEC-2023","www.stilt.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",16539,23.51,0.00,1.42
"11-DEC-2023","www.stilt.com","Unruly Line Item",684,1.97,0.00,2.88
"12-DEC-2023","calcsimple.com","Unruly Line Item",590,2.11,0.00,3.58
"12-DEC-2023","commandcooking.com","Conversant - CC - Line item",1214,2.73,0.00,2.25
"12-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",45283,22.64,0.00,0.50
"12-DEC-2023","commandcooking.com","Media.net - Line item",980,2.37,0.00,2.41
"12-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",3650,10.72,0.00,2.94
"12-DEC-2023","commandcooking.com","OpenX - CC - Line Item",2090,4.75,0.00,2.27
"12-DEC-2023","commandcooking.com","Pubmatic Line item",982,1.96,0.00,2.00
