day;App/Site Domain Name;Gross Revenue;impressions;Estimated Net Revenue
2023-12-17T00:00:00;texashillcountry.com;0.532688;291;0.426150
2023-12-17T00:00:00;www.westernjournal.com;1.060231;480;0.848185
2023-12-09T00:00:00;www.golaurens.com;0.617763;421;0.494210
2023-12-09T00:00:00;www.freepressjournal.in;0.170408;161;0.136326
2023-12-09T00:00:00;www.britishmalayali.co.uk;0.229083;1153;0.183266
2023-12-01T00:00:00;keralakaumudi.com;1.766023;1889;1.412818
2023-12-01T00:00:00;www.flickchart.com;0.960185;1131;0.768148
2023-12-01T00:00:00;cookingprofessionally.com;1.229210;288;0.983368
2023-12-13T00:00:00;www.mirchi9.com;0.008432;7;0.006746
2023-12-13T00:00:00;www.popctrivia.com;0.513570;177;0.410856
2023-12-13T00:00:00;britishmalayali.co.uk;0.011507;57;0.009206
2023-12-06T00:00:00;www.riverbender.com;0.123206;59;0.098565
2023-12-18T00:00:00;ijr.com;0.051377;70;0.041102
2023-12-18T00:00:00;www.stilt.com;3.518126;1272;2.814501
2023-12-18T00:00:00;www.bhaskar.com;0.008412;37;0.006730
2023-12-18T00:00:00;www.rmweb.co.uk;0.011493;29;0.009194
2023-12-18T00:00:00;mamascooking.com;0.790597;192;0.632478
2023-12-18T00:00:00;www.standartnews.com;1.815516;1284;1.452413
2023-12-18T00:00:00;www.freepressjournal.in;0.541740;686;0.433392
2023-12-10T00:00:00;www.binged.com;1.604968;2160;1.283974
2023-12-10T00:00:00;recipesdirect.com;1.959534;390;1.567627
2023-12-10T00:00:00;www.timeshighereducation.com;1.681746;1712;1.345397
2023-12-02T00:00:00;www.homernews.com;0.004509;6;0.003607
2023-12-02T00:00:00;www.keralakaumudi.com;0.004741;4;0.003793
2023-12-02T00:00:00;epaper.freepressjournal.in;0.041021;39;0.032817
2023-12-14T00:00:00;m.thewire.in;0.360475;139;0.288380
2023-12-14T00:00:00;www.stilt.com;2.635374;936;2.108299
2023-12-14T00:00:00;marriedceleb.com;0.512361;367;0.409889
2023-12-14T00:00:00;m.riverbender.com;0.122932;228;0.098346
2023-12-14T00:00:00;commandcooking.com;1.533993;435;1.227194
2023-12-14T00:00:00;www.britishmalayali.co.uk;0.075061;254;0.060049
2023-12-07T00:00:00;wordthirst.com;0.457736;277;0.366189
2023-12-07T00:00:00;www.casebriefs.com;0.014295;2;0.011436
2023-12-07T00:00:00;www.westernjournal.com;0.592959;321;0.474367
2023-12-19T00:00:00;easiereats.com;0.114064;42;0.091251
2023-12-11T00:00:00;funnyeditor.com;0.231462;42;0.185170
2023-12-11T00:00:00;schoolofwordplay.com;0.190602;137;0.152482
2023-12-03T00:00:00;www.mirchi9.com;0.015295;10;0.012236
2023-12-03T00:00:00;texashillcountry.com;0.336875;202;0.269500
2023-12-03T00:00:00;britishmalayali.co.uk;0.043256;268;0.034605
2023-12-03T00:00:00;www.downtoearth.org.in;0.096994;272;0.077595
2023-12-15T00:00:00;www.binged.com;1.935041;2296;1.548033
2023-12-15T00:00:00;keralakaumudi.com;1.984587;2128;1.587670
2023-12-04T00:00:00;www.flickchart.com;0.665078;644;0.532062
2023-12-16T00:00:00;texashillcountry.com;0.171391;97;0.137113
2023-12-16T00:00:00;www.divyabhaskar.co.in;0.000150;3;0.000120
2023-12-16T00:00:00;www.downtoearth.org.in;0.062799;199;0.050239
2023-12-16T00:00:00;www.becauseofthemwecan.com;0.811628;1254;0.649302
2023-12-08T00:00:00;ijr.com;0.088318;106;0.070654
2023-12-08T00:00:00;m.thewire.in;0.184422;81;0.147538
2023-12-08T00:00:00;nowtoronto.com;0.332322;285;0.265858
2023-12-08T00:00:00;www.bhaskar.com;0.005418;26;0.004334
2023-12-08T00:00:00;www.thenewsminute.com;0.208873;480;0.167098
2023-12-08T00:00:00;www.marunadanmalayalee.com;0.956917;2355;0.765534
2023-12-20T00:00:00;recipereader.com;0.168091;26;0.134473
2023-12-12T00:00:00;www.westernjournal.com;0.650019;331;0.520015
2023-12-05T00:00:00;m.thewire.in;0.278399;115;0.222719
2023-12-05T00:00:00;funnyeditor.com;0.140281;22;0.112225
2023-12-05T00:00:00;www.riverbender.com;0.091764;50;0.073411
2023-12-05T00:00:00;www.standartnews.com;0.675769;556;0.540615
2023-12-17T00:00:00;m.riverbender.com;0.055610;93;0.044488
2023-12-17T00:00:00;www.freepressjournal.in;0.658397;779;0.526718
2023-12-17T00:00:00;epaper.freepressjournal.in;0.038804;29;0.031043
2023-12-09T00:00:00;recipesdirect.com;1.032723;236;0.826178
2023-12-01T00:00:00;www.homernews.com;0.004722;9;0.003778
2023-12-01T00:00:00;commandcooking.com;1.703814;380;1.363051
2023-12-01T00:00:00;www.riverbender.com;0.134909;57;0.107927
2023-12-01T00:00:00;www.keralakaumudi.com;0.003021;3;0.002417
2023-12-13T00:00:00;popctrivia.com;0.028333;1;0.022666
2023-12-13T00:00:00;www.elections.in;0.001212;9;0.000970
2023-12-13T00:00:00;m.riverbender.com;0.089173;162;0.071338
2023-12-13T00:00:00;schoolofwordplay.com;0.117837;50;0.094270
2023-12-06T00:00:00;easiereats.com;0.289431;105;0.231545
2023-12-06T00:00:00;glamourpath.com;0.121063;117;0.096850
2023-12-06T00:00:00;www.flickchart.com;0.780469;779;0.624375
